name,entry,size,thunk,calling_convention
FUN_1000da60,1000da60,240,0,unknown
___DllMainCRTStartup,10020c50,240,0,unknown
FUN_10003c20,10003c20,236,0,unknown
FUN_1001ed80,1001ed80,236,0,unknown
FUN_10003b30,10003b30,231,0,unknown
FUN_100167b0,100167b0,230,0,unknown
FUN_1000ac00,1000ac00,229,0,unknown
FUN_1001da70,1001da70,229,0,unknown
FUN_10018280,10018280,228,0,unknown
FUN_1000a210,1000a210,226,0,unknown
FUN_10017410,10017410,226,0,unknown
FUN_100181a0,100181a0,224,0,unknown
FUN_100159a0,100159a0,223,0,unknown
FUN_1001e380,1001e380,223,0,unknown
FUN_1001e570,1001e570,223,0,unknown
FUN_1001fc20,1001fc20,223,0,unknown
FUN_1001fd10,1001fd10,223,0,unknown
FUN_10012ca0,10012ca0,220,0,unknown
FUN_100011c0,100011c0,219,0,unknown
FUN_100053c0,100053c0,217,0,unknown
FUN_1000f6d0,1000f6d0,213,0,unknown
FUN_100196b0,100196b0,213,0,unknown
FUN_10015d50,10015d50,211,0,unknown
FUN_100149d0,100149d0,209,0,unknown
FUN_10006600,10006600,208,0,unknown
FUN_1001d3d0,1001d3d0,207,0,unknown
FUN_1001f9d0,1001f9d0,207,0,unknown
FUN_1000a6c0,1000a6c0,203,0,unknown
FUN_10001830,10001830,201,0,unknown
FUN_1001dd50,1001dd50,200,0,unknown
FUN_1000a420,1000a420,197,0,unknown
FUN_1000a040,1000a040,196,0,unknown
FUN_10003d90,10003d90,195,0,unknown
FUN_1000d3c0,1000d3c0,194,0,unknown
FUN_1001e190,1001e190,194,0,unknown
FUN_1000f9f0,1000f9f0,191,0,unknown
FUN_100148d0,100148d0,187,0,unknown
FUN_10001d60,10001d60,186,0,unknown
FUN_1000d300,1000d300,184,0,unknown
FUN_1000e3b0,1000e3b0,183,0,unknown
FUN_1001f4c0,1001f4c0,183,0,unknown
FUN_10018510,10018510,182,0,unknown
FUN_100044f0,100044f0,181,0,unknown
FUN_10012490,10012490,180,0,unknown
FUN_10014ae0,10014ae0,180,0,unknown
